"Year","Unit","Fleet","Estimate..metric.tonnes.","SD"
1,1,"All_areas",424743.270952745,0.0698260658238631
2,1,"All_areas",325575.263416336,0.0630983644823799
3,1,"All_areas",351562.772819268,0.0753243586787957
4,1,"All_areas",332399.258556638,0.0726212353938669
5,1,"All_areas",348939.934570458,0.0683458768392137
6,1,"All_areas",191485.847558463,0.0733869475109618
7,1,"All_areas",154090.170879756,0.0947531044322128
8,1,"All_areas",198141.02971021,0.0744445997780085
9,1,"All_areas",189043.502380029,0.0832979539195233
10,1,"All_areas",184554.44197962,0.0698004274269113
11,1,"All_areas",411365.337050088,0.0670449783189674
12,1,"All_areas",339144.041308207,0.0725983700830539
13,1,"All_areas",331189.556545368,0.0770250363714201
