"Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
1984,1,"All_areas",779850.705990157,0.11430832016076,61941.4135095982
1985,1,"All_areas",50602.7413238747,0.53238496690551,10230.944504928
1986,1,"All_areas",65490.2893033787,0.532759675872207,13242.2866772615
1987,1,"All_areas",786914.595985608,0.116357473971289,62548.7122135307
1988,1,"All_areas",50602.7413238747,0.53238496690551,10230.944504928
1989,1,"All_areas",75480.7104100108,0.531618169523421,15257.5519343996
1990,1,"All_areas",1022413.95912788,0.10318624141836,71800.1051015393
1991,1,"All_areas",50602.7413238747,0.53238496690551,10230.944504928
1992,1,"All_areas",58717.1558531294,0.531197253567954,11867.5706512879
1993,1,"All_areas",766673.2973066,0.117655575308337,62403.0221290435
1994,1,"All_areas",50602.7413238747,0.53238496690551,10230.944504928
1995,1,"All_areas",64141.0000877576,0.53098769955596,12963.0240581271
1996,1,"All_areas",764304.548211549,0.111211396260667,61314.8038362397
1997,1,"All_areas",50602.7413238747,0.53238496690551,10230.944504928
1998,1,"All_areas",41060.6186011743,0.532021341598902,8300.86767371275
1999,1,"All_areas",540965.792259382,0.168620943246712,64171.1906693389
2000,1,"All_areas",23767.0052519371,0.533546476116584,4806.75181157392
2001,1,"All_areas",223165.575613397,0.136259522490726,19354.0676628703
2002,1,"All_areas",45570.7855197216,0.533418786579242,9216.1417586045
2003,1,"All_areas",451805.945660108,0.10541513762648,33765.801853555
2004,1,"All_areas",35212.4085865815,0.533578202070117,7121.58375777569
2005,1,"All_areas",332841.642208229,0.101248757381318,23974.9313723619
2006,1,"All_areas",26289.8501775534,0.53283285697481,5315.97321447356
2007,1,"All_areas",315349.636864498,0.101265106295016,22580.3954717142
2008,1,"All_areas",65823.3370491788,0.532739275340177,13309.5561236157
2009,1,"All_areas",681647.016046539,0.0984876980253141,47946.6679675833
2010,1,"All_areas",61856.4372352132,0.532116323130536,12505.3074064283
2011,1,"All_areas",754029.529346258,0.102143386689887,52652.6602476373
2012,1,"All_areas",90124.9175360953,0.531308360420986,18216.104749284
2013,1,"All_areas",1098790.05827378,0.122971241279947,89727.0566202429
1984,1,"west_of_140W",765570.589929588,0.115972215507591,61750.964376566
1985,1,"west_of_140W",47538.884643997,0.559089168970084,9936.13510382724
1986,1,"west_of_140W",61526.2825315356,0.55947239292635,12860.6782677972
1987,1,"west_of_140W",763808.825582867,0.119030206774444,62153.3194535078
1988,1,"west_of_140W",47538.884643997,0.559089168970084,9936.13510382724
1989,1,"west_of_140W",70907.6220216562,0.558304939178596,14817.9599145411
1990,1,"west_of_140W",979976.72972619,0.106695715772516,71099.2199019645
1991,1,"west_of_140W",47538.884643997,0.559089168970084,9936.13510382724
1992,1,"west_of_140W",55158.4561749737,0.55787444969602,11525.6753481553
1993,1,"west_of_140W",739629.223750917,0.121304304995805,62052.7031732948
1994,1,"west_of_140W",47538.884643997,0.559089168970084,9936.13510382724
1995,1,"west_of_140W",60252.8955196042,0.557660128289283,12589.5840863777
1996,1,"west_of_140W",709469.823200039,0.118787659835802,60626.2804545846
1997,1,"west_of_140W",47538.884643997,0.559089168970084,9936.13510382724
1998,1,"west_of_140W",38573.7521665165,0.558717278260441,8061.69011689827
1999,1,"west_of_140W",515130.535300456,0.176747030560124,63934.8955204737
2000,1,"west_of_140W",22329.387573728,0.560277065100632,4668.21421070622
2001,1,"west_of_140W",209599.075743302,0.137044361525246,18366.2309520391
2002,1,"west_of_140W",42814.0038084416,0.560146475813104,8950.52512675297
2003,1,"west_of_140W",420267.195407416,0.111838648738684,33271.7680483157
2004,1,"west_of_140W",33082.5390054198,0.560309511490803,6916.32816816814
2005,1,"west_of_140W",296687.978138826,0.110135237750357,23175.7040077418
2006,1,"west_of_140W",24698.6720076038,0.559547236742247,5162.77861858878
2007,1,"west_of_140W",281592.397458128,0.109719666463462,21824.6167553532
2008,1,"west_of_140W",61839.1030472342,0.559451528867602,12926.0105898667
2009,1,"west_of_140W",637680.419332364,0.103794097347314,47257.1569630157
2010,1,"west_of_140W",58110.3552760977,0.558814418993971,12144.9787424817
2011,1,"west_of_140W",696800.772484709,0.108078131278356,51370.090536185
2012,1,"west_of_140W",84663.1786179183,0.557988083928764,17691.3024547132
2013,1,"west_of_140W",1011814.2044706,0.130417371239605,87560.1264111063
